labels,ENG,JPN,DEU,NLD,SPA,TUR,POR,ITA
wdgldetxt1,Error while loading and executing,ウィジェットのよみこみとじっこうでエラー。,Fehler beim Ausführen des Widgets.,Fout bij het laden en uitvoeren,Error al cargar y ejecutar el widget.,Widget yüklenirken ve yürütülürken,Erro ao carregar e executar,Errore durante l’esecuzione del
wdgldetxt2,"widget. Disc error, corrupt widget",ディスクエラー、ファイルのはそん,"Datenträgerproblem, Datei defekt","Disk error, widget beschadigd","Error de disco, archivo de widget ","hata oluştu Disk hatası, bozuk widget","widget. Erro de disco, arquivo de","widget. Errore disco, widget"
wdgldetxt3,file or memory full.,またはメモリがいっぱいです。,oder Speicher voll.,Geheugen of Bestand vol,corrupto o memoria llena.,dosyası veya dolu bellek.,widget corrompido ou memória cheia.,corrotto o memoria esaurita.
sysbutok,Ok,Ok,Ok,Ok,Aceptar,Ok,Ok,Ok
sysbutcnc,Cancel,キャンセル,Abbruch,Annuleer,Cancelar,İptal,Cancelar,Annulla
sysbutapl,Apply,てきよう,Überneh.,Bevestig,Aplicar,Uygula,Aplicar,Applica
sysbutbck,< Back,< もどる,< Zurück,< Vorige,< Volver,< Geri,< Voltar,< Indietro
sysbutnxt,Next >,つぎへ >,Weiter >,Verder >,Sig. >,İleri >,Avanç. >,Avanti >
sysbutfin,Finish,かんりょう,Fertig,Voltooien,Terminar,Bitir,Concluir,Terminare
sysbutbrw,Browse...,えらぶ...,Wählen...,Bladeren...,Explorar...,Gözat…,Buscar...,Sfoglia…
stmemptxt,[empty],[から],[leer],[leeg],[vacío],[boş],[vazio],[vuoto]
systxtprp,Properties,プロパティ,Eigenschaften,Eigenschappen,Propiedades,Özellikler,Propriedades,Proprietà
systitsec,SymbOS security,SymbOSセキュリティ,SymbOS-Sicherheit,SymbOS-beveiliging,Seguridad de SymbOS,SymbOS güvenliği,Segurança do SymbOS,Sicurezza di SymbOS
systxtsec1t,Use the Task Manager to close an,おうとうしないアプリケーションをとじるには,Task Manager verwenden um eine nicht,Gebruik taakbeheer voor sluiten,Usa el Gestor de Tareas para cerrar,Yanıt vermeyen bir uygulamayı kapatmak,Use o Gerenciador de Tarefas para,Usa il Task Manager per terminare
systxtsec2t,application that is not responsing.,タスクマネージャーをつかってください。,reagierende Anwendung zu schließen.,van niet-reagerende app via Taakbeheer,una aplicación que no responde.,için Görev Yöneticisi'ni kullanın.,fechar um aplicativo que não responde.,un'applicazione che non risponde.
systxtsec3t,You are logged on since,ログオンからのけいかじかん,Eingeloggt seit,Aangemeld sinds,Llevas activo,Bağlı bulunduğunuz süre,Você está conectado há,Sei loggato da
_systxtsec4t,00 hours and ,00時かん ,00 Stunden und ,00 uur en ,00 horas y ,00 saat ve ,00 horas e,00 ore e
systxtsec5t,00 minutes,00分,00 Minuten,00 minuten,00 minutos,00 dakika,00 minutos,00 minuti
sysfrmsect,Logon information,ログオンじょうほう,Anmeldeinformationen,Aanmeld info,Información de Acceso,Giriş bilgileri,Informações de login,Info sulla sessione
sysbutsec1,Lock,ロック,Sperren,Vergrendel,Bloquear,Kilitle,Bloquear,Blocca
sysbutsec2,Task Mgr,タスクマネージャー,Task Mgr,Task Mgr,Task Mgr,Task Mgr,Task Mgr,Task Mgr
sysbutsec3,Run...,じっこう...,Ausführen...,Uitvoeren...,Ejecutar...,Çalıştır…,Executar...,Esegui
sysbutsec4,Password...,パスワード...,Passwort...,Wachtwoord,Password…,Parola…,Senha...,Password...
sysbutsec5,Shut down...,シャットダウン...,Beenden...,Afsluiten...,Apagar...,Kapat…,Desligar...,Spegni…
systitlok,Unlock computer,コンピュータのロックかいじょ,Computer entsperren,Ontgrendel computer,Desbloquear,Bilgisayarın kilidini aç,Desbloquear computador,Sblocca il computer
systxtlok1t,This computer is in use and,このコンピュータはしようちゅうで,Der Computer ist in Benutzung,Deze Computer is in gebruik,Este ordenador está en uso,Bilgisayar kullanımda ve kilitli.,Este computador está em uso e,Questo computer è in uso
systxtlok2t,has been locked.,ロックされています。,und wurde gesperrt.,en is vergrendeld,y ha sido bloqueado.,,foi bloqueado.,ed è stato bloccato.
systxtlok3t,User name:,ユーザーめい:,Benutzername:,Gebruiker:,Usuario:,Kullanıcı adı:,Nome de usuário:,Utente:
systxtlok4t,Password:,パスワード:,Passwort:,Wachtwoord:,Password:,Parola:,Senha:,Password:
prgmsgerrb1,The old password is not,ふるいパスワードが,Altes Passwort falsch. Bitte,Het oude wachtwoord is niet,La contraseña antigua no es,Önceki parola doğru değil.,A senha antiga não está,La vecchia password non è
prgmsgerrb2,correct. Please enter the valid,ただしくありません。へんこうするには,zum Ändern das korrekte,correct. Geef het juiste,correcta. Introduce la correcta,Lütfen değiştirmek için,"correta. Por favor, insira a",corretta. Inserisci la password giusta 
prgmsgerrb3,password to change it.,ただしいパスワードをにゅうりょくしてください。,eingeben.,wachtwoord.,para cambiarla.,geçerli bir parola girin.,senha válida para alterá-la.,per poterla cambiare
systitpwd,Change Password,パスワードへんこう,Passwort ändern,Wijzig wachtwoord,Cambiar Password,Parolayı Değiştir,Alterar Senha,Cambia password:
systxtpwd2t,Old Password:,きゅうパスワード:,Altes Passwort:,Oud wachtwoord:,Antigua Password:,Eski Parola:,Senha Antiga:,Vecchia Password:
systxtpwd3t,New Password:,しんパスワード:,Neues Passwort:,Nieuw wachtwoord:,Nueva Password:,Yeni Parola:,Nova Senha:,Nuova Password:
systxtpwd4t,Confirm New:,しんパスワード(かくにん):,Neues bestätigen:,Nieuwe bevestigen:,Confirmar nueva:,Yeniyi Onaylayın:,Confirmar Nova:,Conferma nuova:
prgmsgerra1,The entered passwords do not,にゅうりょくされたパスワードが,Eingegebene Passwörter stimmen,Het ingegeven wachtwoord is niet,Las contraseñas introducidas,Girilen parolalar birbirinden,As senhas digitadas não,Le password non
prgmsgerra2,match. Please confirm your,いっちしません。パスワードを,nicht überein. Bitte das neue,hetzelfde. Bevestig het,"no coinciden. Por favor, confirma",farklı. Lütfen yeni parolayı,coincidem. Confirme sua,corrispondono. Conferma la tua
prgmsgerra3,new password.,かくにんしてください。,bestätigen.,nieuwe wachtwoord.,tu nueva contraseña.,onaylayın.,nova senha.,nuova password.
wdgnewtit,Create Widget,ウィジェットをつくる,Neues Widget,Nieuwe Widget,Crear Widget,Widget Oluştur,Criar Widget,Crea Widget
wdgnewtxt1,Type the location and name of,デスクトップについかしたい,Bitte den Dateipfad des Widget,Typ de pad van de widget,Teclea la ubicación y nombre,Masaüstüne eklemek istediğiniz,Digite o local e nome do,Inserisci l'ubicazione e il nome
wdgnewtxt2,the widget you want to add to,ウィジェットのばしょとなまえを,"eingeben, das aus dem Desktop",die moet worden toegevoegd,del widget que quieres añadir,widget'ın konumunu ve adını,widget que você deseja adicionar,del widget da aggiungere al
wdgnewtxt3,"the desktop. Or, search for the",にゅうりょくしてください。または「えらぶ」で,angelegt werden soll. Oder zum,aan de desktop. Of zoek naar,al escritorio. O busca el widget ,yazın. Veya Gözat'a tıklayarak,à área de trabalho. Ou procure,desktop o cercalo premendo
wdgnewtxt4,widget by clicking Browse.,ウィジェットをさがしてください。,"Suchen auf ""Wählen"" klicken.",de widget door te bladeren,haciendo clic en Explorar.,widget'ı aratın.,o widget clicando em Buscar.,Sfoglia.
wdgnewtxt5,Widget path,ウィジェットパス,Widget Pfad,Widgetpad,Ruta del Widget,Widget yolu,Caminho do widget,Percorso del widget
wdgnewtxt6,Choose a size for the widget.,ウィジェットのサイズをえらんでください。,Widget-Größe auswählen.,Kies widget formaat.,Elige tamaño del widget.,Widget için bir boyut seçin.,Escolha um tamanho para o,Scegli la dimensione del widget.
wdgnewtxt7,The following size(s) are,つぎのサイズが,Folgende Größen sind,Beschikbare,Los siguientes tamaños ,Şu boyutlardan biri seçilebilir:,widget. Os seguintes tamanhos,Sono disponibili le seguenti
wdgnewtxt8,available:,りようできます:,verfügbar:,formaten: ,están disponibles:,,estão disponíveis:,dimensioni:
ctxwdgtxt1,Move,いどう,Verschieben,Verplaats,Mover,Taşı,Mover,Sposta
ctxwdgtxt2,Resize,サイズへんこう,Größe ändern,Formaat,Redimensionar,Boyutunu değiştir,Redimensionar,Ridimensiona
ctxwdgtxt3,Delete,さくじょ,Löschen,Verwijderen,Borrar,Sil,Excluir,Elimina
dicnewtit,Create Shortcut,ショートカットをつくる,Verknüpfung erstellen,Snelkoppeling maken,Crear Atajo,Kısayol Oluştur,Criar Atalho,Crea collegamento
dicnewtxt1,Type the location and name of,ショートカットをつくりたい,"Bitte den Dateipfad eingeben,",Typ locatie en naam van het,Teclea la ubicación y nombre,Kısayol oluşturmak istediğiniz,Digite o local e nome do,Inserisce l'ubicazione e il nome
dicnewtxt2,the item you want to create a,アイテムのばしょとなまえを,auf den eine Verknüfung,item dat moet worden toegevoegd,del objeto al que quieres crear,öğenin konumunu ve adını yazın.,item para o qual deseja criar,dell'oggetto per il quale vuoi
dicnewtxt3,"shortcut to. Or, search for the",にゅうりょくしてください。または「えらぶ」で,erstellt werden soll. Oder zum,als snelkoppeling. Of zoek naar,un atajo. O busca el objeto ,Ya da Gözat'a tıklayarak,um atalho. Ou procure o item,creare il collegamento o
dicnewtxt4,item by clicking Browse.,アイテムをさがしてください。,"Suchen auf ""Wählen"" klicken.",bestand door te bladeren.,haciendo clic en Explorar.,öğeyi arayın.,clicando em Buscar.,cercalo premendo Sfoglia.
dicnewtxt5,Command line,コマンドライン,Kommandozeile,Opdrachtregel,Línea de comandos,Komut satırı,Linha de comando,Linea di comando
dicnewtxt6,Select a name for the shortcut:,ショートカットのなまえをえらんでください:,Name der Verknüpfung:,Naam voor snelkoppeling,Nombre para el atajo:,Kısayol için bir ad seçin:,Selecione um nome para o atalho:,Nome per il collegamento:
dicnewtxt7,Select an icon for the shortcut:,ショートカットのアイコンをえらんでください:,Icon für die Verknüpfung:,Pictrogram voor snelkoppeling,Icono para el atajo:,Kısayol için bir simge seçin:,Selecione um ícone para o atalho:,Icona per il collegamento:
dicnewtxt8,Use file icon,ファイルアイコンをつかう,Aus Datei,Uit bestand halen,Icono de archivo,Dosya simgesi ,Ícone do arquivo,Usa icona del file
dicnewtxt9,Select icon...,アイコンをえらぶ...,Icon wählen...,Icoon kiezen...,Seleccionar…,Simge seç…,Selecionar ícone...,Seleziona icona…
dicprptxt0,File name,ファイルめい,Dateiname,Bestand,Nombre,Dosya adı,Nome do arquivo,Nome file
dicprptxt1,File type,ファイルタイプ,Typ,Type,Tipo,Dosya tipi,Tipo de arquivo,Tipo file
dicprptxt2,Open with,ひらく,Öffnen mit,Start met,Abrir con,Birlikte aç,Abrir com,Apri con
dicprptxt3,Location,ばしょ,Ort,Locatie,Ubicación,Konum,Local,Ubicazione
dicprptxt4,Size,サイズ,Größe,Grootte,Tamaño,Boyut,Tamanho,Dimensione
dicprptxt5,Modified,へんこう日,Geändert,Gewijzigd,Modificado,Değiştirilmiş,Modificado,Modificato
dicprptxta,Read only,よみこみせんよう,Schreibgeschützt,Alleen-lezen,Solo lectura,Salt okunabilir,Somente leitura,Sola lettura
dicprptxtb,Hidden,かくし,Versteckt,Verborgen,Oculto,Gizli,Oculto,Nascosto
dicprptxtc,System,システム,System,Systeem,Sistema,Sistem,Sistema,Sistema
dicprptxtd,Archive,アーカイブ,Archiviert,Archief,Archivo,Arşiv,Arquivo,Archivio
dicprptxtj,General,ぜんぱん,Allgemeines,Algemeen,General,Genel,Geral,Generale
dicprptxtk,Shortcut,ショートカット,Verknüpfung,Snelkoppeling,Atajo,Kısayol,Atalho,Collegamento
dicprptxtl,Target,ターゲット,Ziel,Doel,Destino,Hedef,Destino,Destinazione
dicprptxto,Start in,かいし,Läuft in,Start in,Iniciar en,İçinde başla,Iniciar em,Inizia in
dicprptxtp,Run,じっこう,Fenster,Uitvoeren,Ejecutar,Başlat,Executar,Esegui
dicprptxtq,Default,デフォルト,Standard,Standaard,Por defecto,Varsayılan,Padrão,Default
dicprptxtr,Normal window,ノーマルウィンドウ,Normal,Normaal venster,Ventana normal,Normal pencere,Janela normal,Finestra
dicprptxts,Minimized,さいしょうか,Minimiert,Geminimaliseerd,Minimizado,Küçültülmüş,Minimizado,Minimizzata
dicprptxtt,Maximized,さいだいか,Maximiert,Gemaximaliseerd,Maximizado,Büyütülmüş,Maximizado,Ingrandita
dicprptxtm,Browse target...,ターゲットをえらぶ...,Ziel wählen...,Doel bladeren...,Explor.destino...,Hedefe gözat…,Procurar destino...,Sfoglia destinazione…
dicprptxtn,Change icon...,アイコンをかえる...,Icon ändern...,Icoon kiezen...,Cambiar icono...,Simgeyi değiştir…,Alterar ícone...,Cambia icona…
dicprptxte,EXE-file,じっこうファイル,Exe,EXE-bestand,Archivo EXE,EXE-dosyası,Arquivo EXE,File EXE
ctxicntxt1,Open,ひらく,Öffnen,Open,Abrir,Aç,Abrir,Apri
ctxicntxt2,Cut,カット,Ausschneiden,Knippen,Cortar,Kes,Recortar,Taglia
ctxicntxt3,Copy,コピー,Kopieren,Kopiëren,Copiar,Kopyala,Copiar,Incolla
ctxicntxt4,Create Shortcut,ショートカットをつくる,Verknüpfung erstellen,Nieuwe snelkoppeling,Crear Atajo,Kısayol Oluştur,Criar Atalho,Crea collegamento
ctxicntxt5,Delete,さくじょ,Löschen,Verwijderen,Borrar,Sil,Excluir,Elimina
ctxicntxt6,Rename,なまえをかえる,Umbenennen,Hernoemen,Renombrar,Adını Değiştir,Renomear,Rinomina
folgentxt1,Can't generate folder:,フォルダをつくれません:,Ordner kann nicht angelegt werden,Map maken mislukt,No se puede generar la carpeta:,Klasör oluşturulamıyor:,Não é possível criar pasta:,Impossibile creare la cartella:
folrentxt1,Can't rename folder:,フォルダのなまえをかえられません:,Ordner kann nicht umbenannt werden,Map hernoemen mislukt ,No se puede renombrar la carpeta:,Klasörün adı değiştirilemiyor:,Não é possível renomear pasta:,Impossibile rinominare la cartella:
follautxt2,No launcher found,ランチャーがみつかりません,Launcher nicht gefunden,Geen launcher gevonden,Lanzador no encontrado,Başlatıcı bulunamadı,Lançador não encontrado,Launcher non trovato
foldistxt2,Disc error,ディスクエラー,Datenträgerfehler,Schijfstoring,Error de disco,Disk hatası,Erro de disco,Errore disco
ctxdsktxt1,Arrange Icons,アイコンをならべる,Icons anordnen,Rangschik pictogrammen,Ordenar Iconos,Simgeleri Düzenle,Organizar Ícones,Riordina icone
ctxdsktxt2,Line Up Icons,アイコンをせいれつ,Icons ausrichten,Lijn pictogrammen uit,Alinear Iconos,Simgeleri Sırala,Alinhar Ícones,Allinea icone
ctxdsktxt3,Refresh,さいよみこみ,Aktualisieren,Vernieuwen,Refrescar,Yenile,Atualizar,Aggiorna
ctxdsktxt4,Paste,ペースト,Einfügen,Plakken,Pegar,Yapıştır,Colar,Incolla
ctxdsktxt5,New,しんき,Neu,Nieuw,Nuevo,Yeni,Novo,Nuovo
ctxdsktxt7,Shortcut,ショートカット,Verknüpfung,Snelkoppeling,Atajo,Kısayol,Atalho,Collegamento
ctxdsktxt8,8 x 8 grid,8 x 8グリッド,8 x 8 Raster,8x8 raster,Rejilla 8 x 8,8 x 8 ızgara,Grade 8 x 8,8 x 8 griglia
ctxdsktxt9,13 x 11 grid,13 x 11グリッド,13 x 11 Raster,13 x 11 raster,Rejilla 13 x 11,13 x 11 ızgara,Grade 13 x 11,13 x 11 griglia
ctxdsktxta,26 x 22 grid,26 x 22グリッド,26 x 22 Raster,26 x 22 raster,Rejilla 2 x 22,26 x 22 ızgara,Grade 26 x 22,26 x 22 griglia
ctxdsktxtb,48 x 40 grid,48 x 40グリッド,48 x 40 Raster,48 x 40 raster,Rejilla 48 x 40,48 x 40 ızgara,Grade 48 x 40,48 x 40 griglia
ctxdsktxtc,52 x 44 grid,52 x 44グリッド,52 x 44 Raster,52 x 44 raster,Rejilla 52 x 44,52 x 44 ızgara,Grade 52 x 44,52 x 44 griglia
ctxdsktxtd,Auto arrange,じどうせいり,Automatisch anordnen,Automatisch rangschikken ,Auto ordenar,Otomatik düzenle,Organização automática,Ordinamento automatico
ctxdsktxte,Widget,ウィジェット,Widget,Widget,Widget,Widget,Widget,Widget
ctxdsktxtf,Folder,フォルダ,Ordner,Map,Carpeta,Klasör,Pasta,Cartella
stmtoptxt1,Favourites,おきにいり,Favoriten,Favorieten,Favoritos,Favoriler,Favoritos,Fovoriti
stmtoptxt2,Programs,フﾟロクﾞラム,Programme,Programma's,Programas,Programlar,Programas,Programmi
stmtoptxt3,Documents,トﾞキュメント,Dokumente,Documenten,Documentos,Belgeler,Documentos,Documenti
stmtoptxt4,Settings,せってい,Einstellungen,Instellingen,Opciones,Ayarlar,Configurações,Impostazioni
stmtoptxt5,Info,インフォメーション,Info,Info,Información,Bilgi,Info,Aiuto
stmtoptxt6,Run...,しﾞっこう...,Ausführen...,Uitvoeren...,Ejecutar...,Başlat…,Executar...,Esegui…
stmtoptxt7,Security,セキュリティ,Sicherheit,Beveiliging,Seguridad,Güvenlik,Segurança,Sicurezza
stmtoptxt8,Shut down...,シャットタﾞウン...,Beenden...,Afsluiten...,Apagar...,Kapat…,Desligar...,Spegni…
stmtoptxta,Control Panel,コントロールパネル,Systemsteuerung,Configuratiescherm,Panel de Control,Yönetim Paneli ,Painel de Controle,Pannello di Controllo
stmtoptxtb,Display,テﾞィスフﾟレイ,Anzeige,Weergave,Pantalla,Ekran,Tela,Display
stmtoptxtc,Date and Time,にちしﾞ,Datum & Uhrzeit,Datum en tijd,Fecha y Hora,Tarih ve Saat,Data e Hora,Data e Ora
stmtoptxtd,Startmenu,スタートメニュー,Startmenü,Startmenu,Menú Inicio,Başlat Menüsü,Menu Iniciar,Menù Start
stmtoptxte,Load,ロード,Laden,Laden,Cargar,Yükle,Carregar,Carica
stmtoptxtf,Save,セーブ,Speichern,Opslaan,Guardar,Kaydet,Salvar,Salva
keytxtinf2,Layouts:,#TRANSLATE#,Layouts:,#TRANSLATE#,Esquemas:,Yerleşim planları:,Layouts:,Layouts:
### pack1,53,898
sysbutok,Ok,Ok,Ok,OK,Aceptar,Ok,Ok,Ok
sysbutcnc,Cancel,キャンセル,Abbruch,Annuleer,Cancelar,İptal,Cancelar,Annulla
sysbutsrc,Browse...,えらぶ...,Wählen...,Bladeren...,Explorar...,Gözat…,Buscar...,Sfoglia…
sysbutyes,Yes,はい,Ja,Ja,Sí,Evet,Sim,Si
sysbutno,No,いいえ,Nein,Nee,No,Hayır,Não,No
systiterr,Error!,エラー!,Fehler!,Fout!,¡Error!,Hata!,Erro!,Errore!
systitinf,Info,インフォメーション,Info,Info,Información,Bilgi,Info,Info
systitwrn,Warning,けいこく,Warnung,Waarschuwing,Aviso,Uyarı,Aviso,Attenzione
systitcnf,Confirmation,かくにん,Bestätigung,Bevestiging,Confirmación,Onay,Confirmação,Conferma
sysbutopn,Open,ひらく,Öffnen,Open,Abrir,Aç,Abrir,Apri
sysbutsav,Save,ほそﾞん,Speichern,Opslaan,Guardar,Kaydet,Salvar,Salva
ticmentx1,Cut,カット,Ausschneiden,Knippen,Cortar,Kes,Recortar,Taglia
ticmentx2,Copy,コピー,Kopieren,Kopiëren,Copiar,Kopyala,Copiar,Copia
ticmentx3,Paste,ペースト,Einfügen,Plakken,Pegar,Yapıştır,Colar,Incolla
ticmentx4,Delete,さくじょ,Löschen,Verwijderen,Borrar,Sil,Excluir,Elimina
ticmentx5,Select All,すべてせんたく,Alles markieren,Selecteer alles,Seleccionar todo,Tümünü Seç,Selecionar Tudo,Seleziona tutti
systitrun,Run,じっこう,Ausführen,Uitvoeren,Ejecutar,Başlat,Executar,Esegui
systxtrun1t,"Type the path of a program or document,",プログラムやドキュメントのパスを,Bitte den Dateipfad des Programms oder,Type de bestandslocatie van het,Teclea la ruta de un programa o,"Bir programın veya belgenin yolunu yazın,",Digite o caminho de um programa ou,Inserisci il percorso di un programma o di
systxtrun2t,and SymbOS will open it for you.,にゅうりょくするとSymbOSがひらいてくれます。,Dokuments eingeben.,programma of document.,documento y SymbOS lo abrirá por ti.,SymbOS sizin için onu açacak.,"documento, e o SymbOS abrirá para você.",un documento e SymbOS lo aprirà per te.
systxtrun3t,Open:,ひらく:,Öffnen:,Open:,Abrir:,Aç:,Abrir:,Apri:
systitoff,Shut Down SymbOS,SymbOSをシャットダウン,SymbOS beenden,SymbOS afsluiten,Apagar SymbOS,SymbOS’u Kapat,Desligar o SymbOS,Chiudi SymbOS
systxtoff1t,What do you want the computer,コンピュータに,Vorgang auswählen:,Wat moet de computer doen?,¿Qué quieres que haga el,Bilgisayarın ne yapmasını,Selecione o processo: ,Selezionare il processo:
systxtoff2t,to do?,なにをしてほしいですか。, ,,ordenador?,İstiyorsun?,,
sysmsgver2,This application requires a newer,このアプリケーションはあたらしいSymbOSバージョンが,Anwendung benötigt eine neuere,Nieuwere SymbOS versie vereist,Esta aplicación requiere una versión más,Bu uygulama daha yeni bir SymbOS,Este aplicativo requer uma,Questa applicazione richiede una
sysmsgver3,SymbOS version. Please upgrade.,ひつようです。アップグレードしてください。,SymbOS Version. Bitte aktualisieren.,Vernieuw uw systeem.,moderna de SymbOS. Actualiza.,sürümü gerektirir. Lütfen yükseltin. ,Versão mais nova do SymbOS.,versione di SymbOS più recente.
sysmsgfnd1,File not found:,ファイルがみつかりません:,Datei nicht gefunden:,Bestand niet gevonden:,Archivo no encontrado:,Dosya bulunamadı:,Arquivo não encontrado:,File non trovato:
sysmsgfnd2,The file or the path don't exist.,そのファイルまたはパスはありません。,Bitte auf korrekten,Pad bestaat niet.,Comprueba tu entrada.,Dosya veya yol mevcut değil.,O arquivo ou caminho não existe.,File o percorso inseistenti.
sysmsgfnd3,Please check your input.,にゅうりょくをたしかめてください。,Pfad überprüfen.,Controleer invoer.,,Lütfen girdiğiniz bilgileri kontrol edin.,"Por favor, verifique sua entrada.",Controlla cosa hai scritto.
sysmsgexe1,File is not executable:,じっこうできないファイルです:,Nicht ausführbar:,Niet uitvoerbaar:,No es ejecutable:,Çalıştırılabilir bir dosya değil.,Arquivo não é executável:,File non eseguibile:
sysmsgexe2,The selected file is not executable,せんたくしたファイルはSymbOSかんきょうで,Datei kann in SymbOS,Het geselecteerde bestand is,SymbOS no puede,Seçilen dosya SymbOS'ta,O arquivo selecionado,Il file selezionato non
sysmsgexe3,in the SymbOS environment.,じっこうできません。,nicht geöffnet werden.,niet uitvoerbaar in SymbOS.,abrir el archivo.,açılamıyor. ,não é executável. ,è eseguibile.
sysmsgmem1,Memory full:,メモリがいっぱいです:,Speicher voll:,Geheugen tekort:,Memoria llena:,Bellek dolu:,Memória cheia:,Memoria esaurita:
sysmsgmem2,There is not enough memory for,アプリケーションをじっこうするための,Nicht genug Speicher zum,Er is onvoldoende geheugen,No hay memoria suficiente para,Uygulamayı çalıştırmak için,O aplicativo não pôde ser executado. ,Impossibile eseguire
sysmsgmem3,executing the application.,メモリがたりません。,Ausführen der Anwendung.,beschikbaar voor uitvoeren.,ejecutar esta aplicación.,yeterli bellek yok.,,l'applicazione.
sysmsglod1,Disc error while loading file,ファイルよみこみちゅうにディスクエラー。,Datenträgerfehler beim Laden,Schijfstoring bij laden,Error de disco al cargar archivo,Dosyayı yüklerken disk hatası,Erro de disco ao carregar arquivo,Errore del disco durante il caricamento
sysmsgdir1,Error while reading directory,ディレクトリよみこみエラー,Fehler beim Ordner-Lesen,Fout bij map lezen,Error al leer directorio,Klasörü okurken hata,Erro ao ler diretório,Errore di lettura della cartella
filseltit1,Select file,ファイルをせんたく,Datei auswählen,Selecteer bestand,Seleccionar archivo,Dosya seç,Selecionar arquivo,Seleziona file
filseltit2,Select folder,フォルダをせんたく,Ordner auswählen,Selecteer map,Seleccionar carpeta,Klasör seç,Selecionar pasta,Seleziona cartella
filseltxt1,Look in:,さがすばしょ:,Ort:,Zoeken in:,Mirar en:,İçine bak:,Buscar:,Guarda in:
filseltxt2,File name:,ファイルめい:,Dateiname:,Naam:,Nombre:,Dosya adı:,Nome:,Nome:
